batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
68,1360,1341-1360,131072,-10.0,0.47305989443810004,102.45,0.0
69,1380,1361-1380,131072,-10.0,0.5793484138676408,82.25,0.0
70,1400,1381-1400,131072,-10.0,0.44394179695673897,88.5,0.0
71,1420,1401-1420,131072,-10.0,0.3940403737867046,81.65,0.0
72,1440,1421-1440,131072,-10.0,0.31111464325261406,75.85,0.0
73,1460,1441-1460,131072,-10.0,0.4738820466362542,87.95,0.0
74,1480,1461-1480,131072,-10.0,0.5125083178008488,92.45,0.0
75,1500,1481-1500,196608,-10.0,0.2742919963979096,86.1,0.0
76,1520,1501-1520,196608,-10.0,0.33526444876492906,94.45,0.0
77,1540,1521-1540,196608,-10.0,0.5268845906465561,81.4,0.0
78,1560,1541-1560,196608,-10.0,0.6198498354237112,91.7,0.0
79,1580,1561-1580,196608,-10.0,0.7613922861602405,83.25,0.0
80,1600,1581-1600,196608,-10.0,0.6625129227065786,96.2,0.0
81,1620,1601-1620,196608,-10.0,0.5076804842534689,80.95,0.0
82,1640,1621-1640,196608,-10.0,0.9149339860081538,89.7,0.0
83,1660,1641-1660,196608,-10.0,0.4674582814877736,87.8,0.0
84,1680,1661-1680,196608,-10.0,0.7383494933752097,75.6,0.0
85,1700,1681-1700,196608,-10.0,0.49839364919072304,109.85,0.0
86,1720,1701-1720,196608,-10.0,0.2109313853871778,72.35,0.0
87,1740,1721-1740,196608,-10.0,0.6967620545192622,79.95,0.0
88,1760,1741-1760,196608,-10.0,0.3328573962946394,89.05,0.0
89,1780,1761-1780,196608,-10.0,0.32562112211644423,83.95,0.0
90,1800,1781-1800,196608,-10.0,0.3985852324760891,80.4,0.0
91,1820,1801-1820,196608,-10.0,0.13460194286577584,88.1,0.0
