Episode    122 | Return:    16.7 | Distance:   5.10m | Steps:  725 | fell
Episode    123 | Return:    17.4 | Distance:   5.23m | Steps:  653 | flipped
Episode    124 | Return:    16.5 | Distance:   5.08m | Steps:  602 | fell
Episode    125 | Return:    26.4 | Distance:   7.06m | Steps:  796 | fell
Episode    126 | Return:     3.8 | Distance:   2.58m | Steps: 1500 | no_progress
Episode    127 | Return:    41.2 | Distance:  10.05m | Steps: 1400 | fell
Episode    128 | Return:    16.5 | Distance:   5.05m | Steps:  679 | fell
Episode    129 | Return:    26.1 | Distance:   7.04m | Steps:  921 | fell
Episode    130 | Return:    75.5 | Distance:  17.06m | Steps: 2653 | fell
Episode    131 | Return:    42.6 | Distance:  10.33m | Steps: 1451 | flipped
Episode    132 | Return:    16.2 | Distance:   5.05m | Steps:  597 | fell
Episode    133 | Return:    50.3 | Distance:  11.84m | Steps: 1575 | flipped
Episode    134 | Return:    16.4 | Distance:   5.04m | Steps:  700 | fell
Episode    135 | Return:    18.9 | Distance:   5.73m | Steps: 1500 | no_progress
Episode    136 | Return:    17.9 | Distance:   5.35m | Steps: 1172 | flipped
Episode    137 | Return:    18.6 | Distance:   5.75m | Steps: 1500 | no_progress
Episode    138 | Return:    28.5 | Distance:   9.05m | Steps: 2064 | fell
Episode    139 | Return:    19.9 | Distance:   5.88m | Steps: 1500 | no_progress
Episode    140 | Return:    26.2 | Distance:   7.05m | Steps:  782 | fell
Episode    141 | Return:    37.6 | Distance:  10.54m | Steps: 2180 | fell
Episode    142 | Return:    41.5 | Distance:  10.07m | Steps: 1193 | fell
Episode    143 | Return:    51.5 | Distance:  12.05m | Steps: 1343 | fell
Episode    144 | Return:    16.1 | Distance:   5.27m | Steps: 1244 | flipped
Episode    145 | Return:    19.3 | Distance:   5.72m | Steps: 1500 | no_progress
Episode    146 | Return:    16.8 | Distance:   5.12m | Steps:  596 | fell
Episode    147 | Return:    48.8 | Distance:  11.55m | Steps: 1389 | fell
Episode    148 | Return:    41.2 | Distance:  10.05m | Steps: 1123 | fell
Episode    149 | Return:    19.4 | Distance:   5.79m | Steps: 1500 | no_progress
Episode    150 | Return:    39.1 | Distance:   9.60m | Steps: 1048 | fell
Episode    151 | Return:    25.8 | Distance:   7.08m | Steps: 1500 | no_progress
Episode    152 | Return:    17.3 | Distance:   5.22m | Steps:  512 | flipped
Episode    153 | Return:    18.1 | Distance:   5.65m | Steps: 1500 | no_progress
Episode    154 | Return:    16.4 | Distance:   5.04m | Steps:  523 | fell
Episode    155 | Return:    34.8 | Distance:   9.55m | Steps: 1598 | fell
Episode    156 | Return:    43.6 | Distance:  10.54m | Steps: 1260 | fell
Episode    157 | Return:    26.2 | Distance:   7.04m | Steps:  792 | fell
Episode    158 | Return:    58.8 | Distance:  15.04m | Steps: 2829 | fell
Episode    159 | Return:    41.0 | Distance:  10.04m | Steps: 1185 | fell
Episode    160 | Return:    53.3 | Distance:  12.40m | Steps: 1433 | flipped
Episode    161 | Return:    16.5 | Distance:   5.06m | Steps:  520 | fell
Episode    162 | Return:    55.8 | Distance:  13.05m | Steps: 1605 | fell
Episode    163 | Return:    38.9 | Distance:   9.55m | Steps:  983 | fell
Episode    164 | Return:    16.4 | Distance:   5.06m | Steps:  559 | fell
Episode    165 | Return:    68.4 | Distance:  15.55m | Steps: 1740 | fell
Episode    166 | Return:    29.1 | Distance:   7.60m | Steps:  751 | fell
Episode    167 | Return:    30.4 | Distance:   7.83m | Steps:  852 | flipped
Episode    168 | Return:    28.1 | Distance:   7.75m | Steps: 2250 | no_progress
Episode    169 | Return:    38.4 | Distance:   9.54m | Steps: 1302 | fell
Episode    170 | Return:    51.5 | Distance:  12.05m | Steps: 1222 | fell
Episode    171 | Return:    30.4 | Distance:   7.84m | Steps: 1840 | flipped
Episode    172 | Return:    18.3 | Distance:   5.89m | Steps: 1500 | no_progress
Episode    173 | Return:    17.4 | Distance:   5.24m | Steps:  555 | flipped
Episode    174 | Return:    39.0 | Distance:   9.57m | Steps:  920 | fell
Episode    175 | Return:    16.4 | Distance:   5.05m | Steps:  413 | fell
Episode    176 | Return:    26.4 | Distance:   7.07m | Steps:  726 | fell
Episode    177 | Return:    16.4 | Distance:   5.07m | Steps:  542 | fell
Episode    178 | Return:    80.9 | Distance:  19.06m | Steps: 2688 | fell
Episode    179 | Return:    16.5 | Distance:   5.06m | Steps:  481 | fell
Episode    180 | Return:    18.2 | Distance:   5.75m | Steps: 1500 | no_progress
Episode    181 | Return:    40.8 | Distance:  10.29m | Steps: 2250 | no_progress
Episode    182 | Return:    16.3 | Distance:   5.03m | Steps:  540 | fell
Episode    183 | Return:    29.4 | Distance:   7.63m | Steps:  687 | flipped
Episode    184 | Return:    16.7 | Distance:   5.10m | Steps:  520 | fell
Episode    185 | Return:    42.6 | Distance:  11.54m | Steps: 1995 | fell
Episode    186 | Return:    16.4 | Distance:   5.04m | Steps:  426 | fell
Episode    187 | Return:    16.4 | Distance:   5.05m | Steps:  473 | fell
Episode    188 | Return:    16.5 | Distance:   5.08m | Steps:  518 | fell
Episode    189 | Return:    41.4 | Distance:  10.10m | Steps: 1078 | fell
Episode    190 | Return:    16.4 | Distance:   5.05m | Steps:  562 | fell
Episode    191 | Return:    54.0 | Distance:  12.75m | Steps: 2250 | no_progress
Episode    192 | Return:    19.6 | Distance:   5.93m | Steps: 1500 | no_progress
Episode    193 | Return:    16.5 | Distance:   5.06m | Steps:  491 | fell
Episode    194 | Return:    16.0 | Distance:   5.07m | Steps:  716 | fell
Episode    195 | Return:    43.7 | Distance:  10.54m | Steps:  992 | fell
Episode    196 | Return:    17.6 | Distance:   5.52m | Steps: 1500 | no_progress
Episode    197 | Return:    26.4 | Distance:   7.05m | Steps:  730 | fell
Episode    198 | Return:    16.3 | Distance:   5.04m | Steps:  466 | fell
Episode    199 | Return:    26.6 | Distance:   7.08m | Steps:  570 | fell
Episode    200 | Return:    71.9 | Distance:  16.13m | Steps: 1506 | fell
Episode    201 | Return:    17.8 | Distance:   5.75m | Steps: 1500 | no_progress
Episode    202 | Return:    16.2 | Distance:   5.04m | Steps:  740 | fell
Episode    203 | Return:    17.9 | Distance:   5.34m | Steps:  873 | flipped
Episode    204 | Return:    68.1 | Distance:  15.54m | Steps: 1811 | fell
Episode    205 | Return:    16.4 | Distance:   5.05m | Steps:  486 | fell
Episode    206 | Return:    73.5 | Distance:  16.57m | Steps: 1761 | fell
Episode    207 | Return:    27.8 | Distance:   7.58m | Steps: 1536 | fell
Episode    208 | Return:    69.0 | Distance:  15.56m | Steps: 1515 | fell
Episode    209 | Return:    38.8 | Distance:   9.55m | Steps: 1007 | fell
Episode    210 | Return:    16.9 | Distance:   5.58m | Steps: 1500 | no_progress
Episode    211 | Return:    17.8 | Distance:   5.33m | Steps:  567 | flipped
Episode    212 | Return:    18.6 | Distance:   5.82m | Steps: 1500 | no_progress
Episode    213 | Return:    17.0 | Distance:   5.54m | Steps: 1500 | no_progress
Episode    214 | Return:    48.3 | Distance:  11.40m | Steps: 1132 | flipped
