Episode    218 | Return:    17.3 | Distance:   5.21m | Steps:  373 | flipped
Episode    219 | Return:    16.6 | Distance:   5.09m | Steps:  473 | fell
Episode    220 | Return:    68.6 | Distance:  15.54m | Steps: 3104 | fell
Episode    221 | Return:    29.2 | Distance:   7.61m | Steps:  537 | fell
Episode    222 | Return:    16.6 | Distance:   5.08m | Steps:  347 | fell
Episode    223 | Return:    29.6 | Distance:   7.68m | Steps:  608 | fell
Episode    224 | Return:    16.5 | Distance:   5.08m | Steps:  599 | fell
Episode    225 | Return:    26.9 | Distance:   7.15m | Steps:  813 | flipped
Episode    226 | Return:    16.8 | Distance:   5.15m | Steps:  453 | fell
Episode    227 | Return:    17.9 | Distance:   5.33m | Steps:  496 | flipped
Episode    228 | Return:    16.5 | Distance:   5.07m | Steps:  393 | fell
Episode    229 | Return:    29.7 | Distance:   7.70m | Steps:  630 | flipped
Episode    230 | Return:    78.9 | Distance:  17.55m | Steps: 1673 | fell
Episode    231 | Return:    18.8 | Distance:   5.60m | Steps: 1500 | no_progress
Episode    232 | Return:    41.6 | Distance:  10.09m | Steps:  756 | fell
Episode    233 | Return:    17.1 | Distance:   5.18m | Steps:  578 | flipped
Episode    234 | Return:    17.0 | Distance:   5.17m | Steps:  409 | fell
Episode    235 | Return:    39.5 | Distance:   9.67m | Steps:  698 | flipped
Episode    236 | Return:    19.0 | Distance:   5.61m | Steps: 1500 | no_progress
Episode    237 | Return:    36.9 | Distance:   9.16m | Steps:  693 | fell
Episode    238 | Return:    44.9 | Distance:  10.74m | Steps:  991 | flipped
Episode    239 | Return:    44.7 | Distance:  10.53m | Steps: 2250 | no_progress
Episode    240 | Return:    26.5 | Distance:   7.08m | Steps:  450 | fell
Episode    241 | Return:    29.8 | Distance:   7.71m | Steps:  744 | flipped
Episode    242 | Return:    50.5 | Distance:  11.85m | Steps: 1151 | flipped
Episode    243 | Return:    16.5 | Distance:   5.09m | Steps:  728 | fell
Episode    244 | Return:    58.5 | Distance:  13.57m | Steps: 1770 | fell
Episode    245 | Return:    19.0 | Distance:   5.54m | Steps: 1500 | no_progress
Episode    246 | Return:    53.0 | Distance:  12.34m | Steps:  941 | flipped
Episode    247 | Return:    16.4 | Distance:   5.04m | Steps:  353 | fell
Episode    248 | Return:    16.8 | Distance:   5.13m | Steps:  421 | fell
Episode    249 | Return:    42.9 | Distance:  10.33m | Steps:  722 | flipped
Episode    250 | Return:    55.1 | Distance:  12.77m | Steps: 1156 | flipped
Episode    251 | Return:    87.1 | Distance:  19.17m | Steps: 1609 | flipped
Episode    252 | Return:    29.4 | Distance:   7.66m | Steps:  460 | fell
Episode    253 | Return:    17.1 | Distance:   5.17m | Steps:  391 | flipped
Episode    254 | Return:    16.5 | Distance:   5.07m | Steps:  642 | fell
Episode    255 | Return:    41.7 | Distance:  10.12m | Steps:  650 | fell
Episode    256 | Return:    17.1 | Distance:   5.18m | Steps:  228 | flipped
Episode    257 | Return:    74.3 | Distance:  16.68m | Steps: 1732 | flipped
Episode    258 | Return:    26.2 | Distance:   7.06m | Steps:  896 | fell
Episode    259 | Return:    17.8 | Distance:   5.31m | Steps:  371 | flipped
Episode    260 | Return:    29.7 | Distance:   7.70m | Steps:  609 | flipped
Episode    261 | Return:    17.8 | Distance:   5.32m | Steps:  462 | flipped
Episode    262 | Return:    17.4 | Distance:   5.22m | Steps:  454 | flipped
Episode    263 | Return:    19.2 | Distance:   5.63m | Steps: 1500 | no_progress
Episode    264 | Return:    53.6 | Distance:  12.54m | Steps: 1147 | fell
Episode    265 | Return:    19.1 | Distance:   5.40m | Steps: 1500 | no_progress
Episode    266 | Return:    26.8 | Distance:   7.21m | Steps: 1313 | flipped
Episode    267 | Return:    26.1 | Distance:   7.07m | Steps:  934 | fell
Episode    268 | Return:    27.4 | Distance:   7.22m | Steps:  544 | flipped
Episode    269 | Return:    16.4 | Distance:   5.04m | Steps: 1401 | fell
