======================================================================
TRAINING SESSION - 2026-02-09 17:06:38
======================================================================
Episode   92: no_progress | Steps: 2250 | Distance:   5.64m | Reward:   17.1 | Corridor: holes+50%bumps+random | Seed: 6778
Episode   93: flipped     | Steps: 2540 | Distance:  13.82m | Reward:   60.2 | Corridor: holes+50%bumps+random | Seed: 6439
Episode   94: flipped     | Steps: 1559 | Distance:  11.68m | Reward:   49.6 | Corridor: holes+50%bumps+random | Seed: 8450
Episode   95: fell        | Steps: 1242 | Distance:   9.56m | Reward:   39.0 | Corridor: holes+50%bumps+random | Seed: 1625
Episode   96: flipped     | Steps: 1472 | Distance:   7.35m | Reward:   28.0 | Corridor: holes+50%bumps+random | Seed: 557
Episode   97: no_progress | Steps: 1500 | Distance:   5.57m | Reward:   18.2 | Corridor: holes+50%bumps+random | Seed: 1300
Episode   98: flipped     | Steps:  645 | Distance:   5.16m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 1728
Episode   99: no_progress | Steps: 2250 | Distance:   5.85m | Reward:   19.4 | Corridor: holes+50%bumps+random | Seed: 3406
Episode  100: flipped     | Steps:  603 | Distance:   5.16m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 6782
Episode  101: flipped     | Steps: 1084 | Distance:   7.35m | Reward:   28.0 | Corridor: holes+50%bumps+random | Seed: 6964
Episode  102: flipped     | Steps:  964 | Distance:   7.89m | Reward:   30.8 | Corridor: holes+50%bumps+random | Seed: 7144
Episode  103: no_progress | Steps: 2250 | Distance:   5.71m | Reward:   18.4 | Corridor: holes+50%bumps+random | Seed: 4517
Episode  104: flipped     | Steps: 1646 | Distance:  10.83m | Reward:   45.4 | Corridor: holes+50%bumps+random | Seed: 9217
Episode  105: flipped     | Steps:  612 | Distance:   5.26m | Reward:   17.5 | Corridor: holes+50%bumps+random | Seed: 279
Episode  106: fell        | Steps:  935 | Distance:   7.55m | Reward:   28.9 | Corridor: holes+50%bumps+random | Seed: 5907
Episode  107: fell        | Steps: 1059 | Distance:   7.53m | Reward:   28.9 | Corridor: holes+50%bumps+random | Seed: 578
Episode  108: flipped     | Steps:  875 | Distance:   7.19m | Reward:   27.2 | Corridor: holes+50%bumps+random | Seed: 886
Episode  109: fell        | Steps:  692 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 1944
Episode  110: flipped     | Steps: 1980 | Distance:  15.22m | Reward:   67.4 | Corridor: holes+50%bumps+random | Seed: 3520
Episode  111: flipped     | Steps: 3210 | Distance:  20.72m | Reward:   94.6 | Corridor: holes+50%bumps+random | Seed: 5305
Episode  112: fell        | Steps:  576 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 5830
Episode  113: no_progress | Steps: 1500 | Distance:   5.89m | Reward:   20.1 | Corridor: holes+50%bumps+random | Seed: 1782
Episode  114: no_progress | Steps: 1500 | Distance:   5.80m | Reward:   19.8 | Corridor: holes+50%bumps+random | Seed: 8204
Episode  115: fell        | Steps:  583 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 5225
