
======================================================================
TRAINING SESSION - 2026-02-08 18:18:28
======================================================================
Episode  73: no_progress | Steps:  500 | Distance:  0.75m | Reward:  -4.0 | Corridor: holes+100%bumps-random | Seed: 1936
Episode  74: fell      | Steps:  191 | Distance: -0.07m | Reward:  -9.0 | Corridor: holes+100%bumps-random | Seed: 6672
Episode  75: no_progress | Steps: 1000 | Distance:  2.02m | Reward:   2.3 | Corridor: holes+100%bumps-random | Seed: 262
Episode  76: no_progress | Steps: 1000 | Distance:  1.81m | Reward:   1.3 | Corridor: holes+100%bumps-random | Seed: 3739
Episode  77: no_progress | Steps: 1000 | Distance:  1.92m | Reward:   1.8 | Corridor: holes+100%bumps-random | Seed: 5031
Episode  78: no_progress | Steps: 1000 | Distance:  1.45m | Reward:  -0.5 | Corridor: holes+100%bumps-random | Seed: 5434
Episode  79: no_progress | Steps: 1000 | Distance:  1.76m | Reward:   1.0 | Corridor: holes+100%bumps-random | Seed: 4726
Episode  80: no_progress | Steps:  500 | Distance:  1.03m | Reward:  -2.6 | Corridor: holes+100%bumps-random | Seed: 9863
Episode  81: no_progress | Steps:  500 | Distance:  1.24m | Reward:  -1.5 | Corridor: holes+100%bumps-random | Seed: 8334
Episode  82: no_progress | Steps:  500 | Distance:  1.03m | Reward:  -2.6 | Corridor: holes+100%bumps-random | Seed: 8454
Episode  83: no_progress | Steps:  500 | Distance:  1.04m | Reward:  -2.6 | Corridor: holes+100%bumps-random | Seed: 547
Episode  84: no_progress | Steps: 1500 | Distance:  2.75m | Reward:   6.0 | Corridor: holes+100%bumps-random | Seed: 5727
Episode  85: fell      | Steps: 1670 | Distance:  5.05m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 6876
Episode  86: fell      | Steps: 1870 | Distance:  5.08m | Reward:  16.6 | Corridor: holes+100%bumps-random | Seed: 8349
Episode  87: fell      | Steps: 1712 | Distance:  5.05m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 71
Episode  88: fell      | Steps: 1748 | Distance:  5.05m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 1506
Episode  89: flipped   | Steps: 1263 | Distance:  5.21m | Reward:  17.3 | Corridor: holes+100%bumps-random | Seed: 7995
Episode  90: flipped   | Steps: 2334 | Distance:  5.17m | Reward:  16.7 | Corridor: holes+100%bumps-random | Seed: 5827
Episode  91: fell      | Steps: 1516 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 4855
Episode  92: flipped   | Steps: 1907 | Distance:  5.15m | Reward:  17.0 | Corridor: holes+100%bumps-random | Seed: 7341
Episode  93: flipped   | Steps: 2449 | Distance:  5.28m | Reward:  17.5 | Corridor: holes+100%bumps-random | Seed: 7798
Episode  94: no_progress | Steps: 2000 | Distance:  5.54m | Reward:  19.2 | Corridor: holes+100%bumps-random | Seed: 9557
Episode  95: fell      | Steps: 1557 | Distance:  7.04m | Reward:  26.3 | Corridor: holes+100%bumps-random | Seed: 7612
Episode  96: fell      | Steps: 2082 | Distance:  7.33m | Reward:  27.9 | Corridor: holes+100%bumps-random | Seed: 4022
Episode  97: fell      | Steps: 2617 | Distance:  7.54m | Reward:  28.9 | Corridor: holes+100%bumps-random | Seed: 8218
Episode  98: fell      | Steps: 1680 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 4725
Episode  99: flipped   | Steps: 2195 | Distance:  7.22m | Reward:  27.2 | Corridor: holes+100%bumps-random | Seed: 9300
Episode 100: fell      | Steps: 2229 | Distance:  7.56m | Reward:  29.0 | Corridor: holes+100%bumps-random | Seed: 1071
Episode 101: fell      | Steps: 1797 | Distance:  7.03m | Reward:  26.3 | Corridor: holes+100%bumps-random | Seed: 9851
Episode 102: fell      | Steps: 1312 | Distance:  5.03m | Reward:  16.3 | Corridor: holes+100%bumps-random | Seed: 7354
Episode 103: fell      | Steps: 1827 | Distance:  7.04m | Reward:  26.4 | Corridor: holes+100%bumps-random | Seed: 3807
Episode 104: no_progress | Steps: 3000 | Distance:  5.89m | Reward:  20.5 | Corridor: holes+100%bumps-random | Seed: 9142
Episode 105: flipped   | Steps:  675 | Distance:  5.26m | Reward:  17.5 | Corridor: holes+100%bumps-random | Seed: 2838
Episode 106: no_progress | Steps: 3000 | Distance:  5.39m | Reward:  18.2 | Corridor: holes+100%bumps-random | Seed: 747
Episode 107: no_progress | Steps: 2000 | Distance:  5.60m | Reward:  19.4 | Corridor: holes+100%bumps-random | Seed: 3001
Episode 108: no_progress | Steps: 3000 | Distance:  5.58m | Reward:  19.3 | Corridor: holes+100%bumps-random | Seed: 6532
Episode 109: no_progress | Steps: 2000 | Distance:  5.48m | Reward:  18.8 | Corridor: holes+100%bumps-random | Seed: 2150
Episode 110: flipped   | Steps: 2208 | Distance:  7.71m | Reward:  29.8 | Corridor: holes+100%bumps-random | Seed: 2830
Episode 111: fell      | Steps: 1405 | Distance:  5.07m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 6266
Episode 112: fell      | Steps: 2306 | Distance:  9.06m | Reward:  36.0 | Corridor: holes+100%bumps-random | Seed: 979
Episode 113: fell      | Steps: 1112 | Distance:  5.06m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 7549
Episode 114: no_progress | Steps: 2500 | Distance:  7.14m | Reward:  26.7 | Corridor: holes+100%bumps-random | Seed: 1996
Episode 115: no_progress | Steps: 3000 | Distance:  8.03m | Reward:  30.4 | Corridor: holes+100%bumps-random | Seed: 9085
Episode 116: flipped   | Steps:  692 | Distance:  5.17m | Reward:  17.0 | Corridor: holes+100%bumps-random | Seed: 186
Episode 117: flipped   | Steps:  793 | Distance:  5.15m | Reward:  17.0 | Corridor: holes+100%bumps-random | Seed: 6581
Episode 118: flipped   | Steps:  978 | Distance:  5.21m | Reward:  17.2 | Corridor: holes+100%bumps-random | Seed: 6214
Episode 119: flipped   | Steps:  979 | Distance:  5.20m | Reward:  17.2 | Corridor: holes+100%bumps-random | Seed: 4838
Episode 120: flipped   | Steps:  981 | Distance:  5.33m | Reward:  18.0 | Corridor: holes+100%bumps-random | Seed: 3486
Episode 121: no_progress | Steps: 2000 | Distance:  5.48m | Reward:  18.1 | Corridor: holes+100%bumps-random | Seed: 9740
Episode 122: fell      | Steps:  890 | Distance:  5.03m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 6143
Episode 123: fell      | Steps:  817 | Distance:  5.09m | Reward:  16.6 | Corridor: holes+100%bumps-random | Seed: 7276
Episode 124: flipped   | Steps:  862 | Distance:  5.15m | Reward:  17.0 | Corridor: holes+100%bumps-random | Seed: 9556
Episode 125: fell      | Steps:  822 | Distance:  5.05m | Reward:  16.2 | Corridor: holes+100%bumps-random | Seed: 3613
Episode 126: fell      | Steps:  992 | Distance:  7.03m | Reward:  26.3 | Corridor: holes+100%bumps-random | Seed: 9527
Episode 127: flipped   | Steps: 1198 | Distance:  5.19m | Reward:  16.8 | Corridor: holes+100%bumps-random | Seed: 3390
Episode 128: no_progress | Steps: 2000 | Distance:  5.61m | Reward:  19.5 | Corridor: holes+100%bumps-random | Seed: 6228
Episode 129: flipped   | Steps:  734 | Distance:  5.18m | Reward:  17.2 | Corridor: holes+100%bumps-random | Seed: 4118
Episode 130: fell      | Steps:  844 | Distance:  5.03m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 2311
Episode 131: no_progress | Steps: 2000 | Distance:  5.37m | Reward:  18.2 | Corridor: holes+100%bumps-random | Seed: 5841
Episode 132: no_progress | Steps: 2000 | Distance:  7.91m | Reward:  29.4 | Corridor: holes+100%bumps-random | Seed: 3353
Episode 133: fell      | Steps:  943 | Distance:  5.07m | Reward:  16.5 | Corridor: holes+100%bumps-random | Seed: 6749
Episode 134: no_progress | Steps: 2000 | Distance:  5.69m | Reward:  19.6 | Corridor: holes+100%bumps-random | Seed: 2315
Episode 135: fell      | Steps: 1132 | Distance:  7.06m | Reward:  26.5 | Corridor: holes+100%bumps-random | Seed: 5997
Episode 136: flipped   | Steps:  919 | Distance:  5.32m | Reward:  17.8 | Corridor: holes+100%bumps-random | Seed: 9856
Episode 137: fell      | Steps:  901 | Distance:  5.19m | Reward:  17.1 | Corridor: holes+100%bumps-random | Seed: 3906
Episode 138: fell      | Steps: 2212 | Distance: 13.07m | Reward:  56.5 | Corridor: holes+100%bumps-random | Seed: 8501
Episode 139: no_progress | Steps: 2000 | Distance:  7.90m | Reward:  30.6 | Corridor: holes+100%bumps-random | Seed: 3839
Episode 140: flipped   | Steps: 1774 | Distance: 10.24m | Reward:  42.4 | Corridor: holes+100%bumps-random | Seed: 2808
Episode 141: fell      | Steps:  602 | Distance:  5.04m | Reward:  16.4 | Corridor: holes+100%bumps-random | Seed: 7183
