batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
47,940,921-940,851968,-3.4999155498883816,7.102391337902956,924.5,0.0
48,960,941-960,851968,-4.007744317186421,6.808470181015035,939.95,0.0
49,980,961-980,851968,-4.504586490865955,7.120060099322032,918.35,0.0
50,1000,981-1000,917504,-3.999855003531917,6.755330361265171,923.45,0.0
51,1020,1001-1020,917504,-6.488958233762096,6.3064750222144355,873.55,0.0
52,1040,1021-1040,917504,-4.004388137024952,6.27039578552469,927.65,0.0
53,1060,1041-1060,917504,-4.009766245864396,7.1258073060499,951.4,0.0
54,1080,1061-1080,983040,-4.49606233799427,6.710384402921145,923.4,0.0
55,1100,1081-1100,983040,-4.999062444981701,6.794373954376953,918.15,0.0
56,1120,1101-1120,983040,-4.505044493504377,6.324882599420353,924.1,0.0
57,1140,1121-1140,1048576,-5.0034839116940315,6.383763084372124,892.05,0.0
58,1160,1141-1160,1048576,-2.0160141125534565,6.006424636103014,916.55,0.0
59,1180,1161-1180,1048576,-3.511326833398057,6.301360895449571,845.25,0.0
60,1200,1181-1200,1048576,-1.4843907047852882,6.700263303030148,967.2,0.0
61,1220,1201-1220,1114112,-2.4997451917056472,7.1082451223038845,948.25,0.0
62,1240,1221-1240,1114112,-4.489093740497559,6.238064001131103,891.9,0.0
63,1260,1241-1260,1114112,-6.509405596534182,6.748200190876579,876.65,0.0
64,1280,1261-1280,1179648,-2.489832034653567,7.179945265687519,985.5,0.0
65,1300,1281-1300,1179648,-2.0134072939536534,6.539278973621937,951.8,0.0
66,1320,1301-1320,1179648,-1.9598859310641643,6.707462884135623,952.95,0.0
67,1340,1321-1340,1179648,-3.008604809679743,6.634873454610886,918.8,0.0
68,1360,1341-1360,1245184,-2.48756883709601,6.284951983037701,963.1,0.0
69,1380,1361-1380,1245184,-2.4922276919106263,7.494420922943002,929.35,0.0
70,1400,1381-1400,1245184,-3.0027730756410866,5.834187689730365,891.6,0.0
71,1420,1401-1420,1310720,-3.4918906748118745,6.427805040518791,857.2,0.0
72,1440,1421-1440,1310720,-2.9933786645233766,6.617136701456938,896.55,0.0
73,1460,1441-1460,1310720,-3.989600987671486,5.971646519728095,836.15,0.0
74,1480,1461-1480,1310720,-1.9901401765483129,6.72473900599161,910.65,0.0
75,1500,1481-1500,1376256,-1.9816512239120356,5.804860254719805,884.2,0.0
76,1520,1501-1520,1376256,-1.995197156840956,6.873662789652338,902.35,0.0
77,1540,1521-1540,1376256,-4.0023685490912575,5.448992525168072,823.75,0.0
78,1560,1541-1560,1376256,-2.011429498436011,6.985922461125061,957.15,0.0
79,1580,1561-1580,1441792,-2.4945993263342325,5.955747778042775,877.7,0.0
80,1600,1581-1600,1441792,-5.491718785213991,6.87136409900355,868.15,0.0
81,1620,1601-1620,1441792,-2.007469370314677,5.9958701736586155,906.35,0.0
82,1640,1621-1640,1507328,-3.4903853721396736,6.6116176558058,897.1,0.0
83,1660,1641-1660,1507328,-3.4905358058482925,6.244775210774485,846.95,0.0
