batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
69,1380,1361-1380,524288,-9.500515017960115,3.43513815575763,338.85,0.0
70,1400,1381-1400,524288,-9.49997523391032,2.650365151576503,325.45,0.0
71,1420,1401-1420,589824,-9.499581176786261,3.5723417339107923,327.2,0.0
72,1440,1421-1440,589824,-9.499588390634242,2.6982102479814265,398.0,0.0
73,1460,1441-1460,589824,-8.500208018207712,3.7256440712790493,451.25,0.0
74,1480,1461-1480,589824,-7.499697665145533,3.415173935527357,539.1,0.0
75,1500,1481-1500,589824,-10.0,3.9015738948984735,471.25,0.0
76,1520,1501-1520,589824,-9.500979116834595,3.4528142231887764,395.0,0.0
77,1540,1521-1540,589824,-10.0,3.3136924381304205,387.85,0.0
78,1560,1541-1560,589824,-9.001356101256146,4.160544183606849,430.9,0.0
79,1580,1561-1580,655360,-10.0,3.9964776204785073,417.75,0.0
80,1600,1581-1600,655360,-10.0,4.116747429124336,362.9,0.0
81,1620,1601-1620,655360,-9.49871450453595,3.1252595325805994,390.8,0.0
82,1640,1621-1640,655360,-8.005013879507473,3.9062933874153614,563.9,0.0
83,1660,1641-1660,655360,-9.001844938124213,2.6750104518922684,522.55,0.0
84,1680,1661-1680,655360,-7.507757117532113,4.298034230141186,541.3,0.0
85,1700,1681-1700,720896,-6.507456438773593,4.565233780372696,524.15,0.0
86,1720,1701-1720,720896,-8.499072240298169,3.015250692366785,469.5,0.0
87,1740,1721-1740,720896,-10.0,3.745519929331826,274.1,0.0
88,1760,1741-1760,720896,-10.0,3.7200026616401694,269.9,0.0
89,1780,1761-1780,720896,-10.0,4.050391606673319,211.7,0.0
